,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
2210,satire,thespoof.com,https://thespoof.com,54,210999,The Spoof,52,SATIRE,https://mediabiasfactcheck.com/the-spoof/,/,https://facebook.com/thespoof,https://twitter.com/thespoof
2211,left,thesternfacts.com,https://thesternfacts.com,35,700,The Stern Facts,28,MIXED,https://mediabiasfactcheck.com/the-stern-facts/,/,,https://twitter.com/grantstern
2212,right-center,spokesman.com,https://spokesman.com,62,1147225,The Spokesman-Review,81,HIGH,https://mediabiasfactcheck.com/the-spokesman-review/,/,https://facebook.com/spokesmanreview,https://twitter.com/spokesmanreview
2213,center,thestrategybridge.org,https://thestrategybridge.org,41,2622,The Strategy Bridge,33,HIGH,https://mediabiasfactcheck.com/the-strategy-bridge/,/,https://facebook.com/...,https://twitter.com/strategy_bridge
2214,right-center,thesmokinggun.com,https://thesmokinggun.com,66,1569169,The Smoking Gun,90,HIGH,https://mediabiasfactcheck.com/the-smoking-gun/,/,https://facebook.com/thesmokinggun,https://twitter.com/tsgnews
2215,right-center,spectator.co.uk,https://spectator.co.uk,65,3074835,The Spectator (uk),83,MOSTLY FACTUAL,https://mediabiasfactcheck.com/the-spectator-uk/,/,https://facebook.com/officialspectator,https://twitter.com/spectator
2216,center,sociable.co,https://sociable.co,48,18267,The Sociable,35,HIGH,https://mediabiasfactcheck.com/the-sociable/,/,https://facebook.com/thesociable,https://twitter.com/thesociable
2217,left-center,theskimm.com,https://theskimm.com,57,46166,The Skimm,53,HIGH,https://mediabiasfactcheck.com/the-skimm/,/,https://facebook.com/theskimm,https://twitter.com/theskimm
2218,left,thelasource.com,https://thelasource.com,35,330,The Source Newspaper (La Source),25,HIGH,https://mediabiasfactcheck.com/source-newspaper-la-source/,/,https://facebook.com/thelasource,
2219,center,thesouthern.com,https://thesouthern.com,52,52326,The Southern Illinoisan,56,HIGH,https://mediabiasfactcheck.com/the-southern-illinoisan/,/,https://facebook.com/southernillinoisan,https://twitter.com/thesouthern
2220,center,cumberlink.com,https://cumberlink.com,51,18944,The Sentinel (Pennsylvania),45,HIGH,https://mediabiasfactcheck.com/the-sentinel-pennsylvania/,/,https://facebook.com/cumberlink,https://twitter.com/cumberlink
2221,left-center,thestranger.com,https://thestranger.com,63,3822921,The Stranger,96,HIGH,https://mediabiasfactcheck.com/the-stranger/,/,https://facebook.com/strangerseattle,https://twitter.com/thestranger
2222,right,thesun.co.uk,https://thesun.co.uk,74,6446463,The Sun,98,MIXED,https://mediabiasfactcheck.com/the-sun/,/,https://facebook.com/thesun,https://twitter.com/thesun
2223,left,texasobserver.org,https://texasobserver.org,58,87017,The Texas Observer,62,HIGH,https://mediabiasfactcheck.com/the-texas-observer/,/,https://facebook.com/texasobserver,
2224,fake-news,tehrantimes.com,https://tehrantimes.com,61,1748697,The Tehran Times,92,MIXED,https://mediabiasfactcheck.com/tehran-times/,/,https://facebook.com/tehrantimes79,https://twitter.com/tehrantimes79
2225,center,thetandd.com,https://thetandd.com,51,13913,The Times and Democrat,43,HIGH,https://mediabiasfactcheck.com/the-times-and-democrat/,/,https://facebook.com/thetandd,https://twitter.com/thetandd
2226,right-center,tennessean.com,https://tennessean.com,65,1248168,The Tennessean,76,HIGH,https://mediabiasfactcheck.com/the-tennessean/,/,https://facebook.com/tennessean,https://twitter.com/tennessean
2227,right-center,thetimesherald.com,https://thetimesherald.com,54,412227,The Times Herald (Port Huron),52,HIGH,https://mediabiasfactcheck.com/the-times-herald-port-huron/,/,https://facebook.com/thetimesherald,https://twitter.com/thetimesherald
2228,left-center,thesunmagazine.org,https://thesunmagazine.org,51,43404,The Sun Magazine,48,HIGH,https://mediabiasfactcheck.com/the-sun-magazine/,/,https://facebook.com/thesunmagazine,https://twitter.com/thesunmagazine
2229,right,tennesseestar.com,https://tennesseestar.com,44,8430,The Tennessee Star,39,MIXED,https://mediabiasfactcheck.com/the-tennessee-star/,/,https://facebook.com/tennesseestar,
2230,right-center,theitem.com,https://theitem.com,53,322297,The Sumter Item,76,HIGH,https://mediabiasfactcheck.com/the-sumter-item/,/,https://facebook.com/theitem,https://twitter.com/theitem
2231,left-center,thetab.com,https://thetab.com,53,39420,The Tab,35,HIGH,https://mediabiasfactcheck.com/the-tab/,/,https://facebook.com/thetabofficial,https://twitter.com/thetab
2232,fake-news,thetrumpmedia.com,https://http://www.thetrumpmedia.com/,24,4,The Trump Media,11,LOW,https://mediabiasfactcheck.com/the-trump-media/,/,,
2233,fake-news,digifection.com,https://digifection.com,24,46,The Times of America,19,LOW,https://mediabiasfactcheck.com/the-times-of-america/,/,,
2234,satire,times.com.mx,https://times.com.mx,22,8,The Times,15,SATIRE,https://mediabiasfactcheck.com/the-times/,/,,
2235,center,swedishwire.com,https://swedishwire.com,49,55345,The Swedish Wire,41,HIGH,https://mediabiasfactcheck.com/the-swedish-wire/,/,,
2236,left-center,thetrace.org,https://thetrace.org,51,15322,The Trace,44,HIGH,https://mediabiasfactcheck.com/the-trace/,/,https://facebook.com/teamtrace,
2237,center,mywebtimes.com,https://mywebtimes.com,52,365715,The Times (Illinois),74,HIGH,https://mediabiasfactcheck.com/the-times-illinois/,/,,https://twitter.com/mywebtimes
2238,conspiracy,thetrumpet.com,https://thetrumpet.com,55,122973,The Trumpet,62,MIXED,https://mediabiasfactcheck.com/the-trumpet/,/,https://facebook.com/philadelphiatrumpet,https://twitter.com/thetrumpet_com
2239,right-center,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com,74,10788866,The Times of India,98,HIGH,https://mediabiasfactcheck.com/times-of-india/,/,https://facebook.com/timesofindia,
2240,left-center,smh.com.au,https://smh.com.au,74,9413386,The Sydney Morning Herald,98,HIGH,https://mediabiasfactcheck.com/the-sydney-morning-herald/,/,https://facebook.com/sydneymorningherald,https://twitter.com/smh
2241,right-center,thetimes.co.uk,https://thetimes.co.uk,72,12448430,The Times UK and Sunday Times,99,HIGH,https://mediabiasfactcheck.com/the-times-of-london/,/,,
2242,left,villagevoice.com,https://villagevoice.com,67,1041077,The Village Voice,88,HIGH,https://mediabiasfactcheck.com/the-village-voice/,/,https://facebook.com/villagevoice,
2243,conspiracy,thetruthseeker.co.uk,https://thetruthseeker.co.uk,56,327335,The Truth Seeker,76,LOW,https://mediabiasfactcheck.com/the-truth-seeker/,/,,
2244,satire,undergroundnewsreport.com,https://undergroundnewsreport.com,31,102,The Underground Report,22,SATIRE,https://mediabiasfactcheck.com/the-underground-report/,/,,
2245,fake-news,unz.com,https://unz.com,55,548189,The Unz Review,80,LOW,https://mediabiasfactcheck.com/the-unz-report/,/,https://facebook.com/unzreview,https://twitter.com/unzreview
2246,conspiracy,wakingtimes.com,https://wakingtimes.com,58,285040,The Waking Times,77,LOW,https://mediabiasfactcheck.com/the-waking-times/,/,https://facebook.com/wakingtimes,
2247,left-center,theverge.com,https://theverge.com,74,2862457,The Verge,94,HIGH,https://mediabiasfactcheck.com/the-verge/,/,https://facebook.com/verge,https://twitter.com/verge
2248,conspiracy,thetruthaboutcancer.com,https://thetruthaboutcancer.com,54,16647,The Truth about Cancer,42,LOW,https://mediabiasfactcheck.com/the-truth-about-cancer/,/,https://facebook.com/thetruthaboutcancer,https://twitter.com/truthaboutbigc
2249,fake-news,thetruthdivision.com,https://thetruthdivision.com,36,3966,The Truth Division,27,LOW,https://mediabiasfactcheck.com/the-truth-division/,/,,
2250,fake-news,usa-conservative.com,https://usa-conservative.com,14,4,The USA Conservative,14,LOW,https://mediabiasfactcheck.com/the-usa-conservative/,/,,
2251,left,thewalrus.ca,https://thewalrus.ca,53,57280,The Walrus,55,HIGH,https://mediabiasfactcheck.com/the-walrus/,/,https://facebook.com/walrusmagazine,https://twitter.com/walrusmagazine
2252,right-center,washingtoninstitute.org,https://washingtoninstitute.org,58,77605,The Washington Institute for Near East Policy,56,MIXED,https://mediabiasfactcheck.com/washington-institute-for-near-east-policy/,/,https://facebook.com/washingtoninstitute,https://twitter.com/washinstitute
2253,center,truthsetter.com,https://truthsetter.com,14,27,The TruthSetter,19,HIGH,https://mediabiasfactcheck.com/the-truthsetter/,/,,
2254,left-center,thevarsity.ca,https://thevarsity.ca,47,34036,The Varsity,29,HIGH,https://mediabiasfactcheck.com/the-varsity/,/,https://facebook.com/thevarsitynewspaper,https://twitter.com/thevarsity
2255,pro-science,watchers.news,https://watchers.news,47,80338,The Wachers,55,VERY HIGH,https://mediabiasfactcheck.com/the-watchers/,/,https://facebook.com/the-watchers-255517537825098,https://twitter.com/thewatchers_
2256,fake-news,theuspatriot.com,https://theuspatriot.com,34,1061,The US Patriot,23,LOW,https://mediabiasfactcheck.com/the-us-patriot/,/,,
2257,satire,theunrealtimes.com,https://theunrealtimes.com,49,3845,The Unreal Times,34,SATIRE,https://mediabiasfactcheck.com/the-unreal-times/,/,,https://twitter.com/theunrealtimes
2258,left-center,pilotonline.com,https://pilotonline.com,58,117274,The Virginian-Pilot,60,HIGH,https://mediabiasfactcheck.com/the-virginian-pilot/,/,https://facebook.com/virginianpilot,https://twitter.com/virginianpilot
2259,left-center,thetyee.ca,https://thetyee.ca,57,277313,The Tyee,74,HIGH,https://mediabiasfactcheck.com/the-tyee/,/,https://facebook.com/thetyee,https://twitter.com/thetyee
2260,fake-news,washingtonfeed.com,https://washingtonfeed.com,34,24407,The Washington Feed,23,MIXED,https://mediabiasfactcheck.com/the-washington-feed/,/,,
2261,right,thetruthaboutguns.com,https://thetruthaboutguns.com,57,199439,The Truth About Guns,71,HIGH,https://mediabiasfactcheck.com/the-truth-about-guns/,/,https://facebook.com/thetruthaboutguns,
2262,left-center,theweek.co.uk,https://theweek.co.uk,60,604188,The Week UK,83,HIGH,https://mediabiasfactcheck.com/the-week-uk/,/,https://facebook.com/theweekuk,https://twitter.com/theweekuk
2263,left,thegrio.com,https://thegrio.com,58,464637,TheGrio,80,MOSTLY FACTUAL,https://mediabiasfactcheck.com/thegrio/,/,https://facebook.com/thegrio,https://twitter.com/thegrio
2264,left,worldcantwait.net,https://worldcantwait.net,45,6340,The World Can't Wait,35,HIGH,https://mediabiasfactcheck.com/world-cant-wait/,/,https://facebook.com/worldcantwait,https://twitter.com/worldcantwait
2265,center,zdf.de,https://zdf.de,69,1372496,The ZDF (Zweites Deutsches Fernsehen),90,HIGH,https://mediabiasfactcheck.com/zdf-zweites-deutsches-fernsehen/,/,http://facebook.com/zdf,https://twitter.com/zdf
2266,center,wcfcourier.com,https://wcfcourier.com,54,17918,The Waterloo-Cedar Falls Courier,45,HIGH,https://mediabiasfactcheck.com/the-waterloo-cedar-falls-courier/,/,https://facebook.com/wcfcourier,https://twitter.com/wcfcourier
2267,left,thinkprogress.org,https://thinkprogress.org,68,3549198,Think Progress,96,HIGH,https://mediabiasfactcheck.com/think-progress/,/,https://facebook.com/thinkprogress,https://twitter.com/thinkprogress
2268,fake-news,thinkamericana.com,https://thinkamericana.com,35,19482,Think Americana,42,LOW,https://mediabiasfactcheck.com/think-americana/,/,https://facebook.com/thinkamericana,https://twitter.com/thinkamericana
2269,left,theoswatch.com,https://theoswatch.com,33,191,TheosWatch.com,18,MIXED,https://mediabiasfactcheck.com/theoswatch-com/,/,https://facebook.com/theoswatch,
2270,fake-news,thewashingtonreporter.com,https://thewashingtonreporter.com,27,673,The Washington Reporter,25,MIXED,https://mediabiasfactcheck.com/the-washington-reporter/,/,,
2271,left-center,thisisthezerohour.com,https://thisisthezerohour.com,32,5414,The Zero Hour,36,HIGH,https://mediabiasfactcheck.com/the-zero-hour/,/,https://facebook.com/zerohourrj,https://twitter.com/rjeskow
2272,right-center,thewest.com.au,https://thewest.com.au,57,710200,The West Australian,81,HIGH,https://mediabiasfactcheck.com/the-west-australian/,/,https://facebook.com/thewestaustralian,https://twitter.com/the west australian
2273,left-center,thewire.in,https://thewire.in,55,207101,The Wire - India,55,HIGH,https://mediabiasfactcheck.com/the-wire-india/,/,https://facebook.com/thewire.in,https://twitter.com/thewire_in
2274,left-center,wilderness.org,https://wilderness.org,55,756361,The Wilderness Society,67,HIGH,https://mediabiasfactcheck.com/the-wilderness-society/,/,https://facebook.com/thewildernesssociety,https://twitter.com/wilderness
2275,left,theweek.com,https://theweek.com,63,1862527,The Week,92,HIGH,https://mediabiasfactcheck.com/the-week/,/,https://facebook.com/theweek,https://twitter.com/theweek
2276,center,thejournal.ie,https://thejournal.ie,61,2146651,TheJournal.ie,90,HIGH,https://mediabiasfactcheck.com/thejournal-ie/,/,https://facebook.com/thejournal.ie,
2277,left-center,thewrap.com,https://thewrap.com,66,967581,TheWrap,85,MIXED,https://mediabiasfactcheck.com/thewrap/,/,https://facebook.com/thewrap,https://twitter.com/thewrap
2278,right-center,tnonline.com,https://tnonline.com,52,115716,Times News (Pennsylvania),50,HIGH,https://mediabiasfactcheck.com/times-news-pennsylvania/,/,https://facebook.com/tnlehighton,https://twitter.com/times_news
2279,conspiracy,thoughtcrimeradio.net,https://thoughtcrimeradio.net,34,31064,Thought Crime Radio,32,LOW,https://mediabiasfactcheck.com/thought-crime-radio/,/,,
2280,conspiracy,thinkingmomsrevolution.com,https://thinkingmomsrevolution.com,45,15073,Thinking Mom's Revolution,38,LOW,https://mediabiasfactcheck.com/thinking-moms-revolution/,/,https://facebook.com/groups/ioncleansebyamdforasd,https://twitter.com/thinkingmomsrev
2281,right-center,timeslive.co.za,https://timeslive.co.za,61,318959,Times of South Africa,68,MIXED,https://mediabiasfactcheck.com/times-of-south-africa-times-live/,/,https://facebook.com/timeslive,https://twitter.com/timeslive
2282,left-center,timesheadline.com,https://timesheadline.com,26,26867,Times Headline,14,MIXED,https://mediabiasfactcheck.com/times-headline/,/,,https://twitter.com/timesheadline1
2283,left,this.org,https://this.org,45,25319,This Magazine,45,HIGH,https://mediabiasfactcheck.com/this-magazine/,/,https://facebook.com/thismagazine,https://twitter.com/thismagazine
2284,left-center,timesofisrael.com,https://timesofisrael.com,65,1291282,Times of Israel,84,HIGH,https://mediabiasfactcheck.com/times-of-israel/,/,https://facebook.com/timesofisrael,https://twitter.com/timesofisrael
2285,conspiracy,thrivemovement.com,https://thrivemovement.com,56,88954,Thrive Movement,62,LOW,https://mediabiasfactcheck.com/thrive-movement/,/,https://facebook.com/thrivemovement,https://twitter.com/thrivemovement
2286,left-center,time.com,https://time.com,77,5985276,Time Magazine,97,HIGH,https://mediabiasfactcheck.com/time/,/,https://facebook.com/time,https://twitter.com/time
2287,center,thirdway.org,https://thirdway.org,52,55322,Third Way,55,HIGH,https://mediabiasfactcheck.com/third-way/,/,https://facebook.com/thirdwaythinktank,
2288,center,magicvalley.com,https://magicvalley.com,53,46879,Times-News (Idaho),55,HIGH,https://mediabiasfactcheck.com/times-news-idaho/,/,https://facebook.com/thetimesnews,https://twitter.com/twinfallstn
2289,center,timesofsandiego.com,https://timesofsandiego.com,51,8282,Times of San Diego,39,HIGH,https://mediabiasfactcheck.com/times-san-diego/,/,https://facebook.com/timesofsandiego,
2290,left-center,news.trust.org,https://news.trust.org,59,562953,Thomson Reuters Foundation,46,HIGH,https://mediabiasfactcheck.com/thomson-reuters-foundation/,/,https://facebook.com/thomson.reuters.foundation.news,
2291,left-center,toinformistoinfluence.com,https://toinformistoinfluence.com,41,4322,To Inform is to Influence,32,HIGH,https://mediabiasfactcheck.com/to-inform-is-to-influence/,/,,https://twitter.com/joel_harding
2292,center,thoughtco.com,https://thoughtco.com,61,89445,ThoughtCo,56,VERY HIGH,https://mediabiasfactcheck.com/thoughtco/,/,https://facebook.com/thoughtcodotcom,https://twitter.com/thoughtcocom
2293,satire,tittletattle365.com,https://tittletattle365.com,5,7,TittleTattle365,0,SATIRE,https://mediabiasfactcheck.com/tittletattle365/,/,https://facebook.com/tittletattle365,https://twitter.com/tittletattle365
2294,left-center,nola.com,https://nola.com,68,1740691,Times-Picayune,77,HIGH,https://mediabiasfactcheck.com/the-times-picayune/,/,https://facebook.com/nolanews,https://twitter.com/nolanews
